Date,Exit rate,Turnover rate,Entry rate
"Sep 1, 2001",2.4457,1.9751,1.5046
"Oct 1, 2001",2.347,2.0063,1.6655
"Nov 1, 2001",2.4014,2.1634,1.9255
"Dec 1, 2001",2.7679,2.1622,1.5566
"Jan 1, 2002",3.0611,2.2068,1.3526
"Feb 1, 2002",2.4174,1.7757,1.134
"Mar 1, 2002",2.4651,1.9599,1.4547
"Apr 1, 2002",2.1187,1.7003,1.282
"May 1, 2002",2.0221,1.5992,1.1763
"Jun 1, 2002",1.562,1.2616,0.9613
"Jul 1, 2002",1.8596,1.6521,1.4445
"Aug 1, 2002",1.4903,1.3771,1.2639
"Sep 1, 2002",1.491,1.3354,1.1797
"Oct 1, 2002",1.2871,1.4064,1.5256
"Nov 1, 2002",1.5311,1.6666,1.802
"Dec 1, 2002",1.6265,1.8047,1.9829
"Jan 1, 2003",2.3523,2.4032,2.454
"Feb 1, 2003",1.7438,1.8118,1.8797
"Mar 1, 2003",2.0508,2.2559,2.4611
"Apr 1, 2003",1.8298,1.9151,2.0005
"May 1, 2003",1.9798,2.0895,2.1993
"Jun 1, 2003",2.685,2.7762,2.8675
"Jul 1, 2003",1.6,2.019,2.4379
"Aug 1, 2003",1.595,1.7951,1.9951
"Sep 1, 2003",1.6171,2.0433,2.4696
"Oct 1, 2003",1.8492,2.1608,2.4724
"Nov 1, 2003",1.3109,1.7789,2.2469
"Dec 1, 2003",1.7851,2.1876,2.5901
"Jan 1, 2004",2.001,2.1469,2.2929
"Feb 1, 2004",1.8883,2.1704,2.4525
"Mar 1, 2004",2.5499,2.8741,3.1984
"Apr 1, 2004",2.2767,2.3521,2.4275
"May 1, 2004",1.9404,2.1105,2.2805
"Jun 1, 2004",1.9697,2.2696,2.5695
"Jul 1, 2004",2.1073,2.3075,2.5078
"Aug 1, 2004",2.0071,2.302,2.5969
"Sep 1, 2004",1.8391,2.1349,2.4306
"Oct 1, 2004",1.8905,2.2339,2.5774
"Nov 1, 2004",1.9979,2.5,3.002
"Dec 1, 2004",2.4201,2.7694,3.1188
"Jan 1, 2005",2.7141,2.8102,2.9063
"Feb 1, 2005",2.2264,2.5513,2.8762
"Mar 1, 2005",2.8351,3.5477,4.2603
"Apr 1, 2005",2.4261,2.9432,3.4603
"May 1, 2005",2.487,2.8794,3.2718
"Jun 1, 2005",2.3748,2.6262,2.8776
"Jul 1, 2005",2.4887,2.7531,3.0175
"Aug 1, 2005",2.605,3.1621,3.7191
"Sep 1, 2005",2.4184,3.0123,3.6061
"Oct 1, 2005",2.8277,3.1024,3.3771
"Nov 1, 2005",2.7722,3.4342,4.0962
"Dec 1, 2005",3.5539,3.6622,3.7704
"Jan 1, 2006",3.5987,3.7729,3.9472
"Feb 1, 2006",3.3179,3.5412,3.7645
"Mar 1, 2006",3.6722,4.0461,4.42
"Apr 1, 2006",3.5663,3.8872,4.208
"May 1, 2006",2.583,2.7772,2.9715
"Jun 1, 2006",2.6043,2.6611,2.7179
"Jul 1, 2006",2.2788,2.4522,2.6255
"Aug 1, 2006",2.8764,3.0804,3.2844
"Sep 1, 2006",2.6052,2.8955,3.1858
"Oct 1, 2006",2.4743,2.8052,3.136
"Nov 1, 2006",2.6022,2.9941,3.386
"Dec 1, 2006",3.0706,3.2361,3.4016
"Jan 1, 2007",3.0591,3.4562,3.4294
"Feb 1, 2007",2.4738,2.9657,2.8638
"Mar 1, 2007",3.1964,3.8377,3.7973
"Apr 1, 2007",3.1402,3.2524,3.4017
"May 1, 2007",2.9038,3.1933,3.4857
"Jun 1, 2007",2.6873,2.8629,3.0621
"Jul 1, 2007",2.8135,3.0493,3.2874
"Aug 1, 2007",2.8221,2.9239,3.0257
"Sep 1, 2007",2.6945,2.9342,3.1739
"Oct 1, 2007",2.835,3.2039,3.5728
"Nov 1, 2007",3.571,4.0037,4.4364
"Dec 1, 2007",2.9536,2.8787,2.8039
"Jan 1, 2008",3.0466,3.1961,3.3457
"Feb 1, 2008",3.0294,3.2732,3.517
"Mar 1, 2008",3.5321,3.661,3.7899
"Apr 1, 2008",3.2372,3.6112,3.9851
"May 1, 2008",2.8607,3.153,3.4452
"Jun 1, 2008",2.6472,2.7364,2.8256
"Jul 1, 2008",2.8715,3.0624,3.2533
"Aug 1, 2008",2.6483,2.6755,2.7028
"Sep 1, 2008",2.4329,2.5065,2.58
"Oct 1, 2008",2.7148,2.6093,2.5038
"Nov 1, 2008",2.8301,2.6126,2.3951
"Dec 1, 2008",2.6585,2.3424,2.0263
"Jan 1, 2009",2.4961,2.2645,2.0328
"Feb 1, 2009",2.3294,2.2119,2.0945
"Mar 1, 2009",2.9828,2.7442,2.5055
"Apr 1, 2009",2.6263,2.5119,2.3976
"May 1, 2009",2.1555,2.0132,1.8709
"Jun 1, 2009",1.8426,1.7879,1.7331
"Jul 1, 2009",1.9849,2.0434,2.1019
"Aug 1, 2009",2.2107,2.1611,2.1115
"Sep 1, 2009",2.1876,2.233,2.2784
"Oct 1, 2009",2.02,2.2369,2.4538
"Nov 1, 2009",2.265,2.356,2.447
"Dec 1, 2009",2.6075,2.5717,2.5359
"Jan 1, 2010",2.2981,2.4855,2.6728
"Feb 1, 2010",2.5407,2.7636,2.9865
"Mar 1, 2010",3.0941,3.2186,3.3431
"Apr 1, 2010",2.6638,2.8747,3.0857
"May 1, 2010",2.5581,2.6263,2.6944
"Jun 1, 2010",2.2786,2.5233,2.7679
"Jul 1, 2010",2.5929,2.6196,2.6464
"Aug 1, 2010",2.7172,2.8841,3.051
"Sep 1, 2010",2.3722,2.6024,2.8326
"Oct 1, 2010",2.5872,2.7152,2.8432
"Nov 1, 2010",2.6231,2.8615,3.0998
"Dec 1, 2010",2.9666,2.972,2.9774
"Jan 1, 2011",3.0472,3.1602,3.2732
"Feb 1, 2011",2.4431,2.75,3.0569
"Mar 1, 2011",3.1094,3.1644,3.2194
"Apr 1, 2011",2.8359,2.8833,2.9307
"May 1, 2011",2.7071,2.8548,3.0025
"Jun 1, 2011",2.7869,2.9205,3.0542
"Jul 1, 2011",2.723,2.9244,3.1259
"Aug 1, 2011",2.6989,2.7925,2.886
"Sep 1, 2011",2.4052,2.5885,2.7718
"Oct 1, 2011",2.3805,2.5118,2.6431
"Nov 1, 2011",2.6525,2.8493,3.0462
"Dec 1, 2011",3.3859,3.3756,3.3653
"Jan 1, 2012",3.3003,3.1639,3.0274
"Feb 1, 2012",2.6886,2.6571,2.6255
"Mar 1, 2012",3.0917,3.1062,3.1207
"Apr 1, 2012",2.4452,2.346,2.2468
"May 1, 2012",2.4382,2.2964,2.1547
"Jun 1, 2012",2.5293,2.5143,2.4993
"Jul 1, 2012",2.6967,2.5501,2.4034
"Aug 1, 2012",2.4735,2.3146,2.1558
"Sep 1, 2012",2.4199,2.447,2.474
"Oct 1, 2012",2.2993,2.2739,2.2486
"Nov 1, 2012",2.2983,2.4462,2.5941
"Dec 1, 2012",2.5449,2.402,2.2591
"Jan 1, 2013",2.313,2.419,2.525
"Feb 1, 2013",2.1248,2.1899,2.255
"Mar 1, 2013",2.5946,2.5201,2.4455
"Apr 1, 2013",2.8924,2.8846,2.8769
"May 1, 2013",2.4959,2.3422,2.1884
"Jun 1, 2013",2.1064,2.147,2.1877
"Jul 1, 2013",2.5729,2.8709,3.1689
"Aug 1, 2013",2.645,2.5012,2.3574
"Sep 1, 2013",2.0779,2.1608,2.2438
"Oct 1, 2013",2.439,2.5323,2.6255
"Nov 1, 2013",2.4906,2.6794,2.8683
"Dec 1, 2013",2.6262,2.5428,2.4594
"Jan 1, 2014",2.4565,2.4797,2.5029
"Feb 1, 2014",2.2491,2.1991,2.149
"Mar 1, 2014",2.7369,2.7058,2.6747
"Apr 1, 2014",2.4988,2.459,2.4192
"May 1, 2014",2.0103,1.8829,1.7556
"Jun 1, 2014",1.9419,2.0259,2.1099
"Jul 1, 2014",2.402,2.3496,2.2971
"Aug 1, 2014",1.9659,1.9083,1.8507
"Sep 1, 2014",2.2629,2.3007,2.3385
"Oct 1, 2014",2.4696,2.4779,2.4862
"Nov 1, 2014",2.1979,2.2545,2.3111
"Dec 1, 2014",2.8643,2.7847,2.705
"Jan 1, 2015",2.127,2.2826,2.4383
"Feb 1, 2015",2.1019,2.0403,1.9788
"Mar 1, 2015",2.9747,2.9185,2.8622
"Apr 1, 2015",2.4873,2.3987,2.3101
"May 1, 2015",2.0732,2.1649,2.2567
"Jun 1, 2015",2.1796,2.2289,2.2782
"Jul 1, 2015",1.9989,2.1402,2.2815
"Aug 1, 2015",1.985,2.0219,2.0587
"Sep 1, 2015",2.0055,2.0901,2.1747
"Oct 1, 2015",2.1257,2.1857,2.2456
"Nov 1, 2015",2.024,2.0604,2.0969
"Dec 1, 2015",2.5592,2.3528,2.1463
"Jan 1, 2016",2.0484,2.1721,2.2958
"Feb 1, 2016",2.097,2.1262,2.1554
"Mar 1, 2016",2.5381,2.4301,2.3221
"Apr 1, 2016",2.3616,2.2466,2.1316
"May 1, 2016",2.1974,2.0824,1.9674
"Jun 1, 2016",2.0133,1.9503,1.8873
"Jul 1, 2016",2.0511,2.0795,2.1079
"Aug 1, 2016",2.3449,2.2581,2.1713
"Sep 1, 2016",2.0951,2.1594,2.2237
"Oct 1, 2016",2.1277,2.1805,2.2334
"Nov 1, 2016",2.1409,2.2741,2.4073
"Dec 1, 2016",2.5446,2.3559,2.1673
"Jan 1, 2017",2.2201,2.4353,2.6506
"Feb 1, 2017",1.9892,2.094,2.1987
"Mar 1, 2017",2.8099,2.8359,2.8619
"Apr 1, 2017",2.365,2.3812,2.3975
"May 1, 2017",2.22,2.2133,2.2066
"Jun 1, 2017",1.9165,2.037,2.1575
"Jul 1, 2017",1.9079,1.9926,2.0774
"Aug 1, 2017",2.4186,2.4251,2.4317
"Sep 1, 2017",1.9623,2.0557,2.1491
"Oct 1, 2017",1.9032,2.1195,2.3358
"Nov 1, 2017",2.1801,2.3122,2.4443
"Dec 1, 2017",2.4919,2.3877,2.2835
"Jan 1, 2018",2.2769,2.3449,2.4129
"Feb 1, 2018",2.2823,2.2483,2.2143
"Mar 1, 2018",2.716,2.6435,2.5709
"Apr 1, 2018",2.0804,1.9752,1.8701
"May 1, 2018",1.9633,1.8881,1.813
"Jun 1, 2018",1.7882,1.715,1.6418
"Jul 1, 2018",1.8316,1.6933,1.5551
"Aug 1, 2018",1.965,1.8072,1.6494
"Sep 1, 2018",1.7303,1.6022,1.474
"Oct 1, 2018",1.9439,1.8029,1.6619
"Nov 1, 2018",1.7185,1.6771,1.6358
"Dec 1, 2018",1.9567,1.6765,1.3963
"Jan 1, 2019",1.9282,2.0217,2.1152
"Feb 1, 2019",2.0578,1.9563,1.8549
"Mar 1, 2019",2.4046,2.3486,2.2926
"Apr 1, 2019",2.0891,1.8776,1.6661
"May 1, 2019",1.9721,1.8077,1.6433
"Jun 1, 2019",1.6909,1.6322,1.5734
"Jul 1, 2019",1.7231,1.607,1.4909
"Aug 1, 2019",1.8655,1.7984,1.7312
"Sep 1, 2019",1.8528,1.707,1.5613
"Oct 1, 2019",1.9366,1.7561,1.5757
"Nov 1, 2019",1.7587,1.6909,1.6232
"Dec 1, 2019",1.9723,1.7434,1.5145
"Jan 1, 2020",1.6042,1.5746,1.545
"Feb 1, 2020",1.5208,1.5321,1.5434
"Mar 1, 2020",1.8988,1.6579,1.417
"Apr 1, 2020",1.0381,0.73,0.4219
"May 1, 2020",0.7996,0.5884,0.3773
"Jun 1, 2020",0.7681,0.734,0.7
"Jul 1, 2020",0.8487,0.819,0.7893
"Aug 1, 2020",0.9183,0.8839,0.8495
"Sep 1, 2020",1.0963,1.009,0.9216
"Oct 1, 2020",1.0988,1.0728,1.0468
"Nov 1, 2020",1.1296,1.1914,1.2531
"Dec 1, 2020",1.4513,1.3628,1.2744